Date,log_UNVR,log_Kurs,log_Inflasi,log_IHSG,log_MinyakBumi,log_Emas,Residual Regresi
7/1/2021,-0.069292748,-0.001049927,0.057991947,0.006091843,0.002828138,0.010571535,-0.07242
8/1/2021,-0.017857428,-0.005896517,0.019553536,0.005704747,-0.033247607,0.000215039,-0.02232
9/1/2021,-0.010857928,0.001367858,0.002722858,0.009543015,0.039544375,-0.014475394,-0.00639
10/1/2021,0.048825174,-0.004423055,0.015988105,0.020535058,0.046815456,0.006714765,0.04463
11/1/2021,0.005855745,0.004726439,0.022929961,-0.003799896,-0.101323639,-0.001852109,-0.00095
12/1/2021,-0.037436192,-0.002128154,0.028803558,0.003149088,0.055548826,0.012683316,-0.03427
1/1/2022,-0.008536776,0.003944022,0.066614887,0.003265286,0.068946728,-0.007608902,0.00029
2/1/2022,-0.039457227,-0.000453256,-0.024589273,0.016515005,0.035780373,0.024587502,-0.04682
3/1/2022,-0.002366733,9.07E-05,0.107736707,0.011404004,0.020211635,0.012478324,-0.00647
4/1/2022,0.026468516,0.0038219,0.118725548,0.009564957,0.018690875,-0.009160828,0.02764
5/1/2022,0.084911539,0.002539304,0.009898878,-0.004829343,0.039544613,-0.014336275,0.09575
6/1/2022,0.003657238,0.009282984,0.088260904,-0.014666135,-0.03512837,-0.009460582,0.01014
7/1/2022,-0.024341837,-0.001899357,0.055237692,0.002477447,-0.030356444,-0.008328628,-0.02524
8/1/2022,0.007636144,0.00029275,-0.022554106,0.013984364,-0.041899408,-0.013767842,0.00158
9/1/2022,0.022134445,0.0111234,0.103344123,-0.008417142,-0.051753093,-0.010516982,0.02435
10/1/2022,-0.01742915,0.010428078,-0.017880857,0.003568439,0.036854207,-0.007802374,-0.012
11/1/2022,0.014723257,0.003743344,-0.022636822,-0.00107684,-0.031047246,0.030451068,0.00706
12/1/2022,-0.009143379,-0.004579598,0.007152312,-0.014383729,-0.000485456,0.016113954,-0.00468
1/1/2023,-0.003711941,-0.016492378,-0.018517676,-0.000715684,-0.00194727,0.027406493,-0.00789
2/1/2023,-0.047209635,0.007470681,0.015353404,0.000247577,-0.016914089,-0.02482098,-0.04221
3/1/2023,0.017312975,-0.007325796,-0.041630938,-0.002415773,-0.007848909,0.033997097,0.01188
4/1/2023,0.00496342,-0.009519566,-0.059868492,0.006991403,0.006324374,0.003066332,0.0034
5/1/2023,0.012645526,0.00937468,-0.034427905,-0.018110381,-0.052164774,-0.007860159,0.01856
6/1/2023,-0.026688603,0.000144886,-0.055517328,0.001869785,0.015967356,-0.011703287,-0.02182
7/1/2023,-0.04394887,0.002455688,-0.057991947,0.01722165,0.063702613,0.017600895,-0.04725
8/1/2023,-0.020794665,0.00429998,0.025997036,0.001370013,0.009608793,-0.009461747,-0.01684
9/1/2023,0.008205538,0.006371182,-0.156612906,-0.000835882,0.035675919,-0.01815792,0.01768
10/1/2023,-0.014163032,0.011922014,0.050305118,-0.011906646,-0.049445777,0.024386987,-0.01761
11/1/2023,0.003584294,-0.010378728,0.048126068,0.020632707,-0.028007283,0.009435,-0.00895
